iter	Passed	Remaining
768	12220	3671
769	12225	3651
770	12229	3632
771	12234	3613
772	12238	3594
773	12243	3574
774	12247	3555
775	12252	3536
776	12256	3517
777	12261	3498
778	12265	3479
779	12270	3460
780	12274	3441
781	12278	3423
782	12283	3404
783	12287	3385
784	12294	3367
785	12298	3348
786	12303	3329
787	12307	3311
788	12311	3292
789	12316	3273
790	12320	3255
791	12325	3236
792	12329	3218
793	12336	3200
794	12340	3182
795	12454	3191
796	12585	3205
797	12621	3194
798	12647	3181
799	12668	3167
800	12676	3149
801	12712	3138
802	12749	3127
803	12781	3115
804	12799	3100
805	12806	3082
806	12813	3064
807	12820	3046
808	12828	3028
809	12835	3010
810	12839	2992
811	12844	2973
812	12848	2955
813	12853	2936
814	12857	2918
815	12861	2900
816	12866	2882
817	12871	2863
818	12878	2846
819	12882	2827
820	12886	2809
821	12891	2791
822	12895	2773
823	12899	2755
824	12903	2737
825	12907	2719
826	12912	2701
827	12918	2683
828	12922	2665
829	12926	2647
830	12930	2629
831	12935	2611
832	12939	2594
833	12943	2576
834	12947	2558
835	12952	2540
836	12956	2523
837	12961	2505
838	12965	2488
839	12969	2470
840	12974	2452
841	12979	2435
842	12983	2418
843	12989	2400
844	12993	2383
845	12998	2366
846	13002	2348
847	13006	2331
848	13011	2314
849	13015	2296
850	13019	2279
851	13024	2262
852	13028	2245
853	13032	2228
854	13037	2210
855	13041	2193
856	13045	2176
857	13050	2159
858	13054	2142
859	13058	2125
860	13062	2108
861	13067	2091
862	13073	2075
863	13079	2058
864	13084	2042
865	13088	2025
866	13092	2008
867	13097	1991
868	13101	1975
869	13105	1958
870	13110	1941
871	13114	1925
872	13118	1908
873	13122	1891
874	13127	1875
875	13131	1858
876	13136	1842
877	13140	1825
878	13144	1809
879	13149	1793
880	13153	1776
881	13157	1760
882	13162	1744
883	13166	1727
884	13171	1711
885	13175	1695
886	13179	1679
887	13183	1662
888	13187	1646
889	13191	1630
890	13196	1614
891	13200	1598
892	13204	1582
893	13208	1566
894	13212	1550
895	13216	1534
896	13221	1518
897	13225	1502
898	13229	1486
899	13234	1470
900	13238	1454
901	13242	1438
902	13247	1422
903	13251	1407
904	13255	1391
905	13259	1375
906	13264	1360
907	13268	1344
908	13272	1328
909	13276	1313
910	13281	1297
911	13285	1281
912	13289	1266
913	13293	1250
914	13298	1235
915	13302	1219
916	13306	1204
917	13311	1189
918	13315	1173
919	13319	1158
920	13323	1142
921	13327	1127
922	13333	1112
923	13339	1097
924	13345	1082
925	13349	1066
926	13353	1051
927	13358	1036
928	13362	1021
929	13366	1006
930	13371	990
931	13375	975
932	13379	960
933	13383	945
934	13388	930
935	13392	915
936	13396	900
937	13400	885
938	13405	870
939	13409	855
940	13414	841
941	13418	826
942	13422	811
943	13426	796
944	13431	781
945	13435	766
946	13441	752
947	13446	737
948	13450	722
949	13454	708
950	13458	693
951	13463	678
952	13467	664
953	13471	649
954	13476	635
955	13480	620
956	13484	605
957	13488	591
958	13493	576
959	13497	562
960	13501	547
961	13506	533
962	13510	519
963	13514	504
964	13518	490
965	13523	475
966	13527	461
967	13531	447
968	13535	433
969	13539	418
970	13543	404
971	13548	390
972	13552	376
973	13556	361
974	13561	347
975	13565	333
976	13569	319
977	13573	305
978	13578	291
979	13582	277
980	13586	263
981	13590	249
982	13595	235
983	13599	221
984	13603	207
985	13607	193
986	13612	179
987	13616	165
988	13620	151
989	13624	137
990	13628	123
991	13633	109
992	13637	96
993	13641	82
994	13645	68
995	13650	54
996	13654	41
997	13658	27
998	13664	13
999	13668	0
